Model,RMSE,MAE,QLIKE,UnderPred_Rate,Count
GRU-AFBRL,0.07061621120559,0.003937453188542362,0.44194795150688726,42.227997148310834,86966.0
GRU-AFBRL-Original,0.4182551905394166,0.012092894719223478,0.565562438134017,43.443414667801214,86966.0
GRU-MSE,0.1571256605377823,0.00548833974847868,0.4142215052225333,46.68836096865442,86966.0
GRU-QLIKE,0.11852244917971554,0.004857647120570874,0.36173940305632196,38.54264885127521,86966.0
LSTM-AFBRL,0.0062073788961579624,0.003303696385234893,0.5148157522172018,42.43727433709726,86966.0
LSTM-AFBRL-Original,0.029000291700154487,0.004204749681578464,0.7032239478501482,43.51470689694823,86966.0
LSTM-MSE,0.010431422553328082,0.0032702661883486886,0.49650482831712783,46.361796564174504,86966.0
LSTM-QLIKE,0.006439291386245314,0.0032464050397567937,0.41433201506763045,38.754225789388954,86966.0
