Symbol,Model,RMSE,MAE,QLIKE,UnderPred_Rate,Count
.AEX,GRU-AFBRL,0.00495777171810081,0.0030238806106895567,0.4201488352253318,41.1873840445269,3234.0
.AEX,GRU-AFBRL-Original,0.217553803696444,0.01093434771828888,0.49627446549405063,39.14656771799629,3234.0
.AEX,GRU-MSE,0.005061530727839208,0.0030354952246788,0.4563735668753778,44.774273345701914,3234.0
.AEX,GRU-QLIKE,0.0048687745563676405,0.0030102319022916398,0.3861596064608124,40.44526901669759,3234.0
.AEX,LSTM-AFBRL,0.005260172956394611,0.003282692454151397,0.5121255908290113,40.25974025974026,3234.0
.AEX,LSTM-AFBRL-Original,0.10903913358207593,0.012669020843431059,0.639040552271813,38.775510204081634,3234.0
.AEX,LSTM-MSE,0.005018191552381993,0.0030826317061979237,0.45612602917926964,45.547309833024116,3234.0
.AEX,LSTM-QLIKE,0.005070332552224743,0.003148850258361539,0.41817292437704967,40.04329004329004,3234.0
.AORD,GRU-AFBRL,0.003874562018722377,0.0023230588963074504,0.5360984149710399,48.03860523038605,3212.0
.AORD,GRU-AFBRL-Original,1.824674901955976,0.09270644415879613,0.5810938069192791,50.404732254047325,3212.0
.AORD,GRU-MSE,0.0034734876839250567,0.002234519796011189,0.5059076621424563,53.144458281444585,3212.0
.AORD,GRU-QLIKE,0.0034341700954752894,0.002258781174710173,0.45342924934012147,44.73848069738481,3212.0
.AORD,LSTM-AFBRL,0.0037224502456362557,0.0023444821020510253,0.5279325341110294,48.194271481942714,3212.0
.AORD,LSTM-AFBRL-Original,0.0042833675479112465,0.0025870824205155725,0.8305285415505437,47.75840597758406,3212.0
.AORD,LSTM-MSE,0.0036738199934228124,0.0023227010676803413,0.556327173193108,50.68493150684932,3212.0
.AORD,LSTM-QLIKE,0.0036892809513634057,0.0024349622694122205,0.5288952618073602,45.23661270236612,3212.0
.BFX,GRU-AFBRL,0.004209143062961794,0.002715576047336901,0.4102097256335908,40.32158317872604,3234.0
.BFX,GRU-AFBRL-Original,0.004506998505737544,0.0028725022858228744,0.4301605691171827,38.37353123067409,3234.0
.BFX,GRU-MSE,0.31958567647178876,0.013127384781908781,0.4078832763376987,46.28942486085344,3234.0
.BFX,GRU-QLIKE,0.0038724821225467948,0.0024944571912296704,0.3103882604085512,41.55844155844156,3234.0
.BFX,LSTM-AFBRL,0.00445406158976825,0.0028919561539833298,0.4750230655311214,41.032776747062464,3234.0
.BFX,LSTM-AFBRL-Original,0.0049630548794842005,0.00335811439443077,0.6595135272516356,40.59987631416203,3234.0
.BFX,LSTM-MSE,0.04034944504384355,0.004860574957613462,0.4501946400274458,46.01113172541744,3234.0
.BFX,LSTM-QLIKE,0.004237474034094118,0.0027662951733806694,0.3984960674039268,42.54792826221397,3234.0
.BSESN,GRU-AFBRL,0.00494034603152438,0.0032230586047041075,0.3037162225901161,32.64462809917356,3146.0
.BSESN,GRU-AFBRL-Original,0.9907053800969557,0.08757878341128411,0.5367400822871615,33.630006357279086,3146.0
.BSESN,GRU-MSE,0.004700860174899417,0.003071132224487115,0.282656656765998,34.99682136045772,3146.0
.BSESN,GRU-QLIKE,0.004995627209318696,0.0033918525280746442,0.2971961336254898,27.5588048315321,3146.0
.BSESN,LSTM-AFBRL,0.005280825098219631,0.003430221736254512,0.35557951986636555,31.595677050222505,3146.0
.BSESN,LSTM-AFBRL-Original,0.005557801254948275,0.003570321672937963,0.42505720920421025,33.94787031150667,3146.0
.BSESN,LSTM-MSE,0.005037336786312584,0.0032945995881797406,0.3237510431939071,33.94787031150667,3146.0
.BSESN,LSTM-QLIKE,0.005231349006640561,0.003618857206442886,0.31952263338561154,26.668785759694853,3146.0
.BVLG,GRU-AFBRL,0.0035603917949473293,0.0025725649481535937,0.45850169810107205,44.5141065830721,638.0
.BVLG,GRU-AFBRL-Original,0.0033106507200557074,0.0023736833485702,0.38164161538066066,43.8871473354232,638.0
.BVLG,GRU-MSE,0.003588922666255752,0.002515881732484305,0.4958358710334872,51.2539184952978,638.0
.BVLG,GRU-QLIKE,0.0035550488021146294,0.002569311027883798,0.4617533567616456,45.76802507836991,638.0
.BVLG,LSTM-AFBRL,0.0036484303079497753,0.002679310415234912,0.487108932241785,44.5141065830721,638.0
.BVLG,LSTM-AFBRL-Original,0.0036653962541135588,0.0027227373304104007,0.48524880519712094,41.84952978056427,638.0
.BVLG,LSTM-MSE,0.003651284772843568,0.002575790429300977,0.5225948663338146,51.09717868338558,638.0
.BVLG,LSTM-QLIKE,0.00364115977064798,0.002675789340666488,0.48289104070520517,43.573667711598745,638.0
.BVSP,GRU-AFBRL,0.005797640917081749,0.003780231845573553,0.3572256182952541,45.550576184379,3124.0
.BVSP,GRU-AFBRL-Original,0.006365006018521423,0.003958518953458397,0.4079368234123327,45.35851472471191,3124.0
.BVSP,GRU-MSE,0.005838060625837737,0.003710588115707161,0.3870498949219947,51.40845070422535,3124.0
.BVSP,GRU-QLIKE,0.36660492374272335,0.025196141659980464,0.35662885297890073,42.86171574903969,3124.0
.BVSP,LSTM-AFBRL,0.006044264697294403,0.003941935755691235,0.372269050169237,42.89372599231754,3124.0
.BVSP,LSTM-AFBRL-Original,0.006535694799019031,0.004103535129961816,0.4390798973319573,44.52624839948784,3124.0
.BVSP,LSTM-MSE,0.006150936320954935,0.003834931530421026,0.40543905010140135,50.0,3124.0
.BVSP,LSTM-QLIKE,0.005795881054772236,0.0038420103823554263,0.3355466869001775,41.837387964148526,3124.0
.DJI,GRU-AFBRL,0.008093988449003655,0.0027570401540063447,0.3271838538219435,43.371212121212125,3168.0
.DJI,GRU-AFBRL-Original,0.16837566887243563,0.008992873380649288,0.5978155535357398,45.64393939393939,3168.0
.DJI,GRU-MSE,0.004104797443971929,0.0024633258331742233,0.27546108575539424,45.29671717171717,3168.0
.DJI,GRU-QLIKE,0.004156645147533521,0.0026726712412487013,0.27256004990232535,35.51136363636363,3168.0
.DJI,LSTM-AFBRL,0.005027803134932026,0.003028600719203792,0.4784174350736423,40.467171717171716,3168.0
.DJI,LSTM-AFBRL-Original,0.005284677070086775,0.0033354900393525433,0.5041817047244926,41.85606060606061,3168.0
.DJI,LSTM-MSE,0.004181614092171011,0.0025918800163573954,0.31769667778778893,45.95959595959596,3168.0
.DJI,LSTM-QLIKE,0.004527456979333928,0.0029272017197250074,0.3275586945405346,36.23737373737374,3168.0
.FCHI,GRU-AFBRL,0.004790139531403167,0.0032561482196302154,0.36011977408969154,36.518243661100804,3234.0
.FCHI,GRU-AFBRL-Original,0.004909543824560162,0.003358803850805545,0.3868135762084066,36.48732220160792,3234.0
.FCHI,GRU-MSE,0.0044756196488675935,0.0030217049281486773,0.32426493766885833,41.032776747062464,3234.0
.FCHI,GRU-QLIKE,0.004498812543321022,0.003132540739180667,0.3140820685001972,35.09585652442795,3234.0
.FCHI,LSTM-AFBRL,0.005027918193463303,0.003430152992593579,0.39896500339195595,35.7452071737786,3234.0
.FCHI,LSTM-AFBRL-Original,0.007031603472937179,0.004044212131389622,0.5311860262859721,37.755102040816325,3234.0
.FCHI,LSTM-MSE,0.004902094056223442,0.0032791570365463124,0.3913630090460351,40.012368583797155,3234.0
.FCHI,LSTM-QLIKE,0.0049713159826607276,0.0034265085818237055,0.37329292345991816,35.714285714285715,3234.0
.FTMIB,GRU-AFBRL,0.005078832442764568,0.0033488590466923098,0.4214642210945304,48.40909090909091,1320.0
.FTMIB,GRU-AFBRL-Original,0.004863559492100707,0.003192634108744384,0.39282322436564227,43.63636363636363,1320.0
.FTMIB,GRU-MSE,0.005038996429192635,0.0031294951295026893,0.4538745451883754,58.18181818181818,1320.0
.FTMIB,GRU-QLIKE,0.004774710319682327,0.003102491656842234,0.3420242056930197,46.21212121212121,1320.0
