Symbol,Model,RMSE,MAE,QLIKE,UnderPred_Rate,Count
.AEX,EGARCH,0.005282416249686487,0.004036596052075719,0.3816177348601514,15.680033948652664,4713.0
.AEX,GARCH,0.005433069668527853,0.004055830175657483,0.3774687827543894,16.168045830681095,4713.0
.AEX,GJR,0.005374203564698018,0.003907856067859658,0.3504013125922591,16.719711436452368,4713.0
.AEX,HAR,0.0039395060815177975,0.0026907225561766347,0.2709589217549843,34.299722873587726,4691.0
.AORD,EGARCH,0.0038901788932390624,0.0029965486343846667,0.4379654629188724,22.534305317324186,4664.0
.AORD,GARCH,0.003961853443407702,0.0030165836642086098,0.4368950835309522,22.534305317324186,4664.0
.AORD,GJR,0.003902449204072675,0.0029368407834810596,0.41625645107144665,22.92024013722127,4664.0
.AORD,HAR,0.0033815676078717528,0.0022356817195715605,0.4264153992974519,43.881947436449806,4642.0
.BFX,EGARCH,0.004670751902468394,0.003622266767220143,0.36621207339227296,16.196136701337295,4711.0
.BFX,GARCH,0.004842907507501127,0.0036395139861408196,0.36067441582777543,15.983867544045848,4711.0
.BFX,GJR,0.004790865788180875,0.0035350717321794866,0.3420490024847795,16.896624920399066,4711.0
.BFX,HAR,0.0034681846128121713,0.002372954513508724,0.25788830701614135,33.46129238643634,4689.0
.BSESN,EGARCH,0.006162351063381125,0.004635499432571492,0.3866486089263285,13.442265795206973,4590.0
.BSESN,GARCH,0.006394499357149462,0.0046988139607487284,0.38404076524013186,13.485838779956428,4590.0
.BSESN,GJR,0.006258058062872037,0.004604690182430633,0.37653622424521416,13.4640522875817,4590.0
.BSESN,HAR,0.004957517840781349,0.0034891387972027575,0.31095766774744943,21.475481611208405,4568.0
.BVLG,EGARCH,0.004973394474417416,0.0042222269236132735,0.5183913412410981,9.090909090909092,1452.0
.BVLG,GARCH,0.005112399513579594,0.004280877142306307,0.5206601752571852,9.022038567493112,1452.0
.BVLG,GJR,0.005097580810300956,0.004206888861922681,0.506205356871152,8.47107438016529,1452.0
.BVLG,HAR,0.002638784884105721,0.0019081323672930357,0.26304730498972206,43.4965034965035,1430.0
.BVSP,EGARCH,0.0074294311625719795,0.0063017105836137045,0.4719982206396627,13.369923161361141,4555.0
.BVSP,GARCH,0.00744915726356036,0.006274613527436858,0.4682492628953675,13.523600439077937,4555.0
.BVSP,GJR,0.007318603718163537,0.00613693782527158,0.4585969993089907,14.401756311745334,4555.0
.BVSP,HAR,0.005242633157197273,0.0035817321209069748,0.3246986653056719,43.92234723141408,4533.0
.DJI,EGARCH,0.00418268892707894,0.003008747070241173,0.3214258661559166,25.35606387570134,4634.0
.DJI,GARCH,0.004252392212847151,0.0030223124264006887,0.3209269038871965,25.89555459646094,4634.0
.DJI,GJR,0.00405157568019644,0.0028798290987815133,0.300368446965654,26.80189900733707,4634.0
.DJI,HAR,0.0038672215280892716,0.0026603893439218155,0.2878275921150528,30.333911535125758,4612.0
.FCHI,EGARCH,0.0054623753811443064,0.0042475762924551845,0.3762509325966844,17.190152801358234,4712.0
.FCHI,GARCH,0.005627934925460783,0.004301281458683396,0.3755051492570806,17.40237691001698,4712.0
