Model,RMSE,MAE,QLIKE,UnderPred_Rate,Count
EGARCH,0.005649810938956153,0.004319204287752383,0.41158233339402645,16.212638472793145,129177.0
GARCH,0.005795665752397486,0.004349425029912446,0.40932716249433815,16.362045875039673,129177.0
GJR,0.005693745513456665,0.0042306875241465225,0.39295456550831637,16.78239934353639,129177.0
HAR,0.004280230658619119,0.0028672961788254315,0.31115122849281446,33.87758278532239,128495.0
